UUID,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,LAT,LNG,PLACE_TYPE,Cite,Relationship,Date,Location Precision 
5fcafd3b-8f04-490d-b9f8-b4c0ba6c971f,Aborigines,char-offset:313,PEOPLE,,,,,,"1,9",,,
9c57a992-2424-4a59-a0c5-07535804541d,Aborigines,char-offset:1429,PEOPLE,,,,,,"1,9",,,
46ec0f36-1a0a-4a1c-9cc6-7a5a8882ca56,Aborigines,char-offset:2405,PEOPLE,,,,,,"1,10",,,
42afd8a0-6235-41ca-8c32-86a23912f703,Aborigines,char-offset:2722,PEOPLE,,,,,,"1,10",,,
e23c14dd-8900-4ebe-94e7-f2b10908f768,Aborigines,char-offset:3261,PEOPLE,,,,,,"1,10",,,
4f6a30db-c902-4d65-a3a6-a7b666eb937a,Aborigines,char-offset:4559,PEOPLE,,,,,,"1,11",,,
1e9e321d-1999-4f9c-8eef-f97924481c8d,Aborigines,char-offset:9639,PEOPLE,,,,,,"1,13",,,
523c2465-cef4-4a1c-86bf-4db720ac9468,Aborigines,char-offset:10271,PEOPLE,,,,,,"1,13",,,
182aff04-02df-4fb9-a9b4-cdc5a5a12eac,Aborigines,char-offset:10618,PEOPLE,,,,,,"1,13",,,
9c0a2426-504d-4f1d-acea-7536e47e2963,Aborigines,char-offset:10868,PEOPLE,,,,,,"1,14",,,
578af5bd-7ff1-4f60-93ec-5e1d417fc6e7,Aborigines,char-offset:12260,PEOPLE,,,,,,"1,14",,,
3e63e7e7-cb56-423d-a915-c3c52691247e,Aborigines,char-offset:12957,PEOPLE,,,,,,"1,14",,,
ac8d974b-9ae7-407e-954f-ffc7c9768e4e,Aborigines,char-offset:13170,PEOPLE,,,,,,"1,14",,,
4f3badc3-ea4f-41e3-af09-5b35292c9155,Aborigines,char-offset:14607,PEOPLE,,,,,,"1,16",,,
855dc5de-83d8-4938-97bd-3d124c68354f,Aborigines,char-offset:16471,PEOPLE,,,,,,"1,16",,,
e42ad522-2c58-4281-b6fc-31bf2b7bf561,Aborigines,char-offset:16981,PEOPLE,,,,,,"1,16",,,
cc969114-f425-421c-af3b-5a44a9f186b2,Aborigines,char-offset:17702,PEOPLE,,,,,,"1,17",,,
f82e1709-3949-4a26-89df-0790e4d8083b,Aborigines,char-offset:17785,PEOPLE,,,,,,"1,17",,,
7aec8fbd-4fde-4556-be40-131d00a540b2,Aborigines,char-offset:21775,PEOPLE,,,,,,"1,19",,,
7ddd2d4a-0851-40d5-908a-6ef4a1817546,Aborigines,char-offset:22189,PEOPLE,,,,,,"1,19",,,
e854a26b-b63f-4fd4-bd53-bc5a27c9758b,Aborigines,char-offset:22442,PEOPLE,,,,,,"1,19",,,
fcb663ec-125d-41ea-9924-709f1de1ec9c,Aborigines,char-offset:22953,PEOPLE,,,,,,"1,19",,,
bf84faf9-fa36-4cef-93e4-f4e73bed8f18,Aborigines,char-offset:23131,PEOPLE,,,,,,"1,20",,,
3500e5b7-f78a-4234-a29b-bbefb99b88d8,Aborigines,char-offset:23545,PEOPLE,,,,,,"1,20",,,
e459f037-d32d-46ab-b719-fdfc4936ceb2,Aborigines,char-offset:24379,PEOPLE,,,,,,"1,20",,,
53ef0846-d76b-4350-bf90-df18ce696adb,Aborigines,char-offset:24822,PEOPLE,,,,,,"1,20",,,
3c8344ad-a87c-44b5-83e6-b6e67410e2bc,Aborigines,char-offset:24973,PEOPLE,,,,,,"1,20",,,
640d7d88-6092-4d0f-a549-c6650bba3b39,Aborigines,char-offset:27353,PEOPLE,,,,,,"1,22",,,
1fd9cfb4-ce49-4016-8c6c-9c8db2e88b9d,Aborigines,char-offset:30647,PEOPLE,,,,,,"1,23",,,
b5a387fc-c365-486a-9131-4de627500523,Aborigines,char-offset:37032,PEOPLE,,,,,,"1,26",,,
6fffd5e6-19db-450d-a5ba-e574f47c1bd6,Aborigines,char-offset:46716,PEOPLE,,,,,,"1,30",,,
b21f41d4-03eb-495a-b520-54a9eb9cb769,Aborigines,char-offset:47813,PEOPLE,,,,,,"1,31",,,
0ddc29c6-f4f9-4707-9ef3-13174f175b80,Aborigines,char-offset:53573,PEOPLE,,,,,,"1,33",,,
83c40031-7691-4c0f-903f-83dc829c0746,Aborigines,char-offset:65374,PEOPLE,,,,,,"1,39",,,
c964ac60-ea49-4ca7-8531-f3a10bd3c1bd,Aborigines,char-offset:67933,PEOPLE,,,,,,"1,40",,,
ac29a6bb-464b-4753-9e0d-4c429ea094b2,Aborigines,char-offset:75294,PEOPLE,,,,,,"1,42",,,
b22c024f-4c96-45bd-a1d4-792e942ec2df,Aborigines,char-offset:76661,PEOPLE,,,,,,"1,43",,,
e50285d7-83af-4095-83e6-2affd29d5514,Aborigines,char-offset:76889,PEOPLE,,,,,,"1,43",,,
afd1cd1c-6ccd-44b1-abd4-7965e8192cf7,Aborigines,char-offset:77904,PEOPLE,,,,,,"1,44",,,
9ae473e5-e4d9-4a2f-9847-a21d8cb889d7,Aborigines,char-offset:145,PEOPLE,,,,,,"1,44",,,NO
05c8ee31-0c6f-45cc-b6bb-0509b52a3c8f,Aborigines,char-offset:422,PEOPLE,,,,,,"1,45",,,NO
7780f9d2-6482-4500-881b-a8766d448f2a,Aborigines,char-offset:526,PEOPLE,,,,,,"1,45",,,NO
00e62bed-7f6e-4fdd-842d-0678b5bb7871,Aborigines,char-offset:746,PEOPLE,,,,,,"1,45",,,NO
76281116-692f-44cd-8a6d-895659cc2e6f,Aborigines,char-offset:35004,PEOPLE,,,,,,"1,59",,,NO
