UUID,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,LAT,LNG,PLACE_TYPE,CITATION,RELATIONSHIP,DATE,PRECISE LOCATION
5b4d0b2c-64a9-4fa1-a312-026f8d7a1b26,Aborigines,char-offset:584,PEOPLE,,,,,,"2,1",,,NO
5fe6e889-15c7-4179-a4e3-abbba141f14a,Aborigines,char-offset:1169,PEOPLE,,,,,,"2,1",,,NO
cfad1cca-ef9b-4b88-a84b-942c24d0596a,Achaeans,char-offset:22230,PEOPLE,http://pleiades.stoa.org/places/570028,Achaea/Achaia (region),38.10212147,22.22458591,region,"2,66",,,
86a132f4-7ea2-4eeb-bcf1-d9c0d3e8702b,Adriatic,char-offset:39753,PLACE,http://pleiades.stoa.org/places/1046,Ionium Mare,39.03244648,19.67486108,water-open,"2,49",,,
f7841b40-fc4b-4f6e-bb39-f7f50703aed9,Aemilia,char-offset:26272,PERSON,,,,,,"2,68",,,
f09c230c-0cf2-456e-9ea7-8e3ad9f04391,Aemilia,char-offset:26641,PERSON,,,,,,"2,68",,,
78af5747-f045-4cbc-bbdd-3c714eb32224,Aeneas,char-offset:2765,PERSON,,,,,,,,,NO
98975d82-a4c8-4e7a-9cd6-abb27981c922,Aeneas,char-offset:3466,PERSON,,,,,,,,,
5fa0467e-7dc9-477d-8c1b-4ce3b321d7a9,Aeneas,char-offset:12079,PERSON,,,,,,,,,
6b8e8c1d-c1df-4075-8586-85ee671156ef,Aeneas,char-offset:21915,PERSON,,,,,,"2,66",,,
229bd295-af1a-474d-b83e-4bed2443084e,Aeneas,char-offset:22156,PERSON,,,,,,"2,66",,,
2ac39ed7-256e-456d-8ac7-01ef87e5fd77,Alba,char-offset:17024,PLACE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"2,65",,,
bdf8f9a3-8f35-4740-b299-19a916e61787,Alban,char-offset:2608,PEOPLE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"2,2",,,YES
be1ea78a-579e-4e4d-a450-e7f372db16da,Albans,char-offset:2264,PEOPLE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"2,2",,,YES
abc2dfc4-9b51-495d-ae7e-ba9e6154687f,Albans,char-offset:16122,PEOPLE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"2,37",,,
7acd5bdb-0493-42cf-9d06-f95dedba0d8f,Amiternum,char-offset:39288,PLACE,http://pleiades.stoa.org/places/413013,"Amiternum|Amiternum, San Vittorino Amiterno, L'Aquila",42.402,13.30884,settlement,"2,49",,,
0659e9b0-b246-43ef-966c-cc2378f3dfe8,Anchises,char-offset:2784,PERSON,,,,,,,,,
7616acbd-3d8b-475f-b861-87005803c63a,Ancus Marcius,char-offset:48807,PERSON,,,,,,"2,76",,,
76488181-90fc-4709-b594-d00f168929b5,Antemnae,char-offset:5330,PLACE,http://pleiades.stoa.org/places/422836,"Antemnae|Antemnae, Monte Antenne, Roma",41.937528,12.500656,settlement,"2,32",Enemy,,
a219c592-53ef-43cc-bdf3-6c041ee6f970,Antemnae,char-offset:13152,PLACE,http://pleiades.stoa.org/places/422836,"Antemnae|Antemnae, Monte Antenne, Roma",41.937528,12.500656,settlement,"2,35",Enemy,,
77533658-fb62-4fc0-ae47-e7ec22d9b36c,Aphroditê,char-offset:2797,PERSON,,,,,,,,,
86811ec9-9c30-4b80-b1dc-bb4f95ae864d,Arcadia,char-offset:1027,PLACE,http://pleiades.stoa.org/places/570102,Arcadia,37.56741927,22.1653231,region,"2,1",,,YES
5027734e-0807-4f67-9556-f5afc25d27bf,Arcadia,char-offset:1694,PLACE,http://pleiades.stoa.org/places/570102,Arcadia,37.56741927,22.1653231,region,"2,1",,,YES
7c64cc38-e072-4114-badf-0fd4cb09e58d,Arcadia,char-offset:13384,PLACE,http://pleiades.stoa.org/places/570102,Arcadia,37.56741927,22.1653231,region,"2,35",,,
