QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,LAT,LNG,PLACE_TYPE,CITATION,RELATIONSHIP (ALLY/ENEMY),DATE,LOCATION PRECISION 
Aborigines,char-offset:1378,PEOPLE,,,,,,"1,1",,1200 B.C.,NO
Aborigines,char-offset:3155,PEOPLE,,,,,,"1,2",,1200 B.C.,NO
Aborigines,char-offset:3527,PEOPLE,,,,,,"1,2",,1200 B.C.,NO
Aborigines,char-offset:4022,PEOPLE,,,,,,"1,2",,1200 B.C.,NO
Aborigines,char-offset:4253,PEOPLE,,,,,,"1,2",,1200 B.C.,NO
Achivi,char-offset:172,PEOPLE,http://sws.geonames.org/6697800,Central Greece,38.65232257,22.827046,,"1,1",,1200 B.C.,YES
Actium,char-offset:49435,PLACE,http://pleiades.stoa.org/places/530771,"Actium|Actium/Apollo Aktios, Aktio",38.9509,20.7683,"shrine,monument","1,19",,710 B.C.,YES
Adriatic,char-offset:441,PLACE,http://pleiades.stoa.org/places/1046,Ionium Mare,39.03244648,19.67486108,water-open,"1,1",,1200 B.C.,YES
Aequi,char-offset:144493,PEOPLE,http://pleiades.stoa.org/places/422822,Aequi,42.0215935,13.16497,people,"1,53",,530 B.C.,YES
Aequi,char-offset:148182,PEOPLE,http://pleiades.stoa.org/places/422822,Aequi,42.0215935,13.16497,people,"1,55",,520 B.C.,YES
Aequicoli,char-offset:88340,PLACE,http://pleiades.stoa.org/places/413001,"Aequiculi|Nersae/Aequiculi, Civitella di Nesce, Pescorocchiano",42.208353,13.17791,"settlement-modern,settlement","1,32",,625 B.C.,YES
Alba,char-offset:51766,PLACE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"1,20",,710 B.C.,YES
Alba,char-offset:56319,PLACE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"1,22",,710 B.C.,YES
Alba,char-offset:57756,PLACE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"1,23",,670 B.C.,YES
Alba,char-offset:57832,PLACE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"1,23",,670 B.C.,YES
Alba,char-offset:58657,PLACE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"1,23",,670 B.C.,YES
Alba,char-offset:59114,PLACE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"1,23",,670 B.C.,YES
Alba,char-offset:63129,PLACE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"1,24",,670 B.C.,YES
Alba,char-offset:63159,PLACE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"1,24",,670 B.C.,YES
Alba,char-offset:67686,PLACE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"1,25",,670 B.C.,YES
Alba,char-offset:71967,PLACE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"1,27",,670 B.C.,YES
Alba,char-offset:72885,PLACE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"1,27",,670 B.C.,YES
Alba,char-offset:77293,PLACE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"1,28",,670 B.C.,YES
Alba,char-offset:80971,PLACE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"1,29",,650 B.C.,YES
Alba,char-offset:6018,PLACE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"1,3",,1200-800 B.C.,YES
Alba,char-offset:6915,PLACE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"1,3",,1200-800 B.C.,YES
Alba,char-offset:81097,PLACE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"1,30",,650 B.C.,YES
Alba,char-offset:82664,PLACE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"1,30",,650 B.C.,YES
Alba,char-offset:140964,PLACE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"1,52",,530 B.C.,YES
Alba,char-offset:13318,PLACE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"1,6",,,YES
Alba,char-offset:13611,PLACE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"1,6",,,YES
Alba Longa,char-offset:6126,PLACE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"1,3",,1200-800 B.C.,YES
Alban,char-offset:56224,PEOPLE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"1,22",,710 B.C.,YES
Alban,char-offset:56249,PEOPLE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"1,22",,710 B.C.,YES
Alban,char-offset:56501,PEOPLE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"1,22",,710 B.C.,YES
Alban,char-offset:56593,PEOPLE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"1,22",,710 B.C.,YES
Alban,char-offset:56778,PEOPLE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"1,22",,710 B.C.,YES
Alban,char-offset:56902,PEOPLE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"1,22",,710 B.C.,YES
Alban,char-offset:58280,PEOPLE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"1,23",,670 B.C.,YES
Alban,char-offset:58404,PEOPLE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"1,23",,670 B.C.,YES
Alban,char-offset:58767,PEOPLE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"1,23",,670 B.C.,YES
Alban,char-offset:59411,PEOPLE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"1,23",,670 B.C.,YES
Alban,char-offset:62251,PEOPLE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"1,24",,670 B.C.,YES
Alban,char-offset:65495,PEOPLE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"1,25",,670 B.C.,YES
Alban,char-offset:66148,PEOPLE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"1,25",,670 B.C.,YES
Alban,char-offset:67140,PEOPLE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"1,25",,670 B.C.,YES
Alban,char-offset:67702,PEOPLE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"1,25",,670 B.C.,YES
Alban,char-offset:67915,PEOPLE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"1,26",,670 B.C.,YES
Alban,char-offset:71999,PEOPLE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"1,27",,670 B.C.,YES
Alban,char-offset:73321,PEOPLE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"1,27",,670 B.C.,YES
Alban,char-offset:74229,PEOPLE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"1,27",,670 B.C.,YES
Alban,char-offset:74418,PEOPLE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"1,27",,670 B.C.,YES
Alban,char-offset:75377,PEOPLE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"1,28",,670 B.C.,YES
Alban,char-offset:77629,PEOPLE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"1,28",,670 B.C.,YES
Alban,char-offset:77792,PEOPLE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"1,28",,670 B.C.,YES
Alban,char-offset:77877,PEOPLE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"1,28",,670 B.C.,YES
Alban,char-offset:81342,PEOPLE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"1,30",,650 B.C.,YES
Alban,char-offset:141047,PEOPLE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"1,52",,530 B.C.,YES
Alban,char-offset:12674,PEOPLE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"1,6",,,YES
Alban,char-offset:13510,PEOPLE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"1,6",,,YES
