UUID,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,LAT,LNG,PLACE_TYPE,Citation,Relationship,Narrative Date,Date,Location Precision
0ea45a55-64f3-490f-a64c-838900030705,Brutus,char-offset:566,PERSON,,,,,,"2,1",,507 B.C.,,
938f2e13-7d51-4984-898a-d3bda7625237,Brutus,char-offset:2035,PERSON,,,,,,"2,1",,507 B.C.,,
172ad1b5-b907-490f-80a5-1f6c6dd31fd1,Brutus,char-offset:2469,PERSON,,,,,,"2,1",,507 B.C.,,
f3be416a-0695-4cad-83f6-e81ec58d5337,Rome,char-offset:11,PLACE,http://pleiades.stoa.org/places/423025,"Roma|Roma, Roma|Rome",41.89262,12.4843457,"settlement,urban","2,1",,507 B.C.,,
a3a5add8-6506-4af9-88b1-f83348727b80,Rome,char-offset:2394,PLACE,http://pleiades.stoa.org/places/423025,"Roma|Roma, Roma|Rome",41.89262,12.4843457,"settlement,urban","2,1",,507 B.C.,,
98c91239-ab68-4519-8f55-f4cfb9b6e52e,Tarquin,char-offset:2456,PERSON,,,,,,"2,1",,507 B.C.,,
44934f9d-358f-4a26-99a1-5831c70e7663,Cocles,char-offset:26463,PERSON,,,,,,"2,10",,506 B.C.,,
162652f9-9639-4844-8a72-fe7dba05ec14,Cocles,char-offset:27136,PERSON,,,,,,"2,10",,506 B.C.,,
0321cb69-5d0d-46c0-a388-8f4da56b1b95,Palatine,char-offset:24814,PLACE,http://pleiades.stoa.org/places/971691208,Palatinus Mons,41.8893064,12.4871093,hill,"2,10",Ally,506 B.C.,,
2f6c4858-8a80-407f-a961-4cb8481c65be,Rome,char-offset:24240,PLACE,http://pleiades.stoa.org/places/423025,"Roma|Roma, Roma|Rome",41.89262,12.4843457,"settlement,urban","2,10",,506 B.C.,,
8b0a5ab8-4d05-4320-a759-56dc317a30fe,T. Herminius-both,char-offset:25355,PERSON,,,,,,"2,10",,506 B.C.,,
bbb96cd7-3db4-4a40-aaf3-3bbf08b76b85,Tiber,char-offset:24069,PLACE,http://pleiades.stoa.org/places/423080,Tiberis (river),42.7082004,12.36927719,river,"2,10",Neutral,506 B.C.,,
d0b1f63e-d6b5-4fb8-96ef-4c8d9c1e7cc4,Tiber,char-offset:26621,PLACE,http://pleiades.stoa.org/places/423080,Tiberis (river),42.7082004,12.36927719,river,"2,10",Neutral,506 B.C.,,
3edbcd02-ce74-4afc-a4b1-46a536873f5b,Gabian,char-offset:28711,PLACE,http://pleiades.stoa.org/places/422932,"Gabii|Gabii, Castiglione, Roma|Castiglione Cosentino",41.8871,12.71738,"sanctuary,settlement,temple-2","2,11",Neutral,506 B.C.,,
9bf40dc7-d09e-468a-8fca-821228dba7b7,Herminius,char-offset:29109,PERSON,,,,,,"2,11",,506 B.C.,,
e1f49307-670a-4586-882b-a52e61ebe9ea,Naevian,char-offset:28970,PLACE,,,,,,"2,11",Neutral,506 B.C.,,
c5c1eaf3-1173-443d-b4eb-4240be3e0ba0,P. Valerius,char-offset:28584,PERSON,,,,,,"2,11",,506 B.C.,,
c6805268-535c-4fa7-82b6-85c592784db9,Porsena,char-offset:27175,PERSON,,,,,,"2,11",,506 B.C.,,
2b204c64-e506-43b6-84e1-ec1aa9254cde,Rome,char-offset:27420,PLACE,http://pleiades.stoa.org/places/423025,"Roma|Roma, Roma|Rome",41.89262,12.4843457,"settlement,urban","2,11",,506 B.C.,,
ff5284ca-1c73-4640-8909-6092d2f6c964,Rome,char-offset:27579,PLACE,http://pleiades.stoa.org/places/423025,"Roma|Roma, Roma|Rome",41.89262,12.4843457,"settlement,urban","2,11",,506 B.C.,,
21baa807-7e13-476b-9509-2a014a16463c,T. Herminius,char-offset:28604,PERSON,,,,,,"2,11",,506 B.C.,,
3b694954-94d9-4c38-a1b6-2552d7ed1d62,T. Lucretius,char-offset:28913,PERSON,,,,,,"2,11",,506 B.C.,,
6456a484-f107-4bc1-a55e-b546e2e3c6ce,Tiber,char-offset:27333,PLACE,http://pleiades.stoa.org/places/423080,Tiberis (river),42.7082004,12.36927719,river,"2,11",Neutral,506 B.C.,,
9a128dbf-430b-4f6a-864e-ac0de04f8d97,Valerius,char-offset:27907,PERSON,,,,,,"2,11",,506 B.C.,,
f8e41723-de56-4f45-addd-876816158cca,Valerius,char-offset:28984,PERSON,,,,,,"2,11",,506 B.C.,,
ca2eba74-2286-48cb-b410-b2b9fd5af72f,Valerius,char-offset:29218,PERSON,,,,,,"2,11",,506 B.C.,,
07081ebe-42a9-4d1e-8935-65b78b19f8f0,C. Mucius,char-offset:29712,PERSON,,,,,,"2,12",,506 B.C.,,
073667f2-c765-47e4-a666-31c061976ec4,C. Mucius,char-offset:31589,PERSON,,,,,,"2,12",,506 B.C.,,
cfd2d173-abfa-4de7-8296-8471a1b593ac,C. Mucius,char-offset:34468,PERSON,,,,,,"2,12",,506 B.C.,,
615fc45d-a731-4571-9c3f-82c67538d1e2,Cloelia,char-offset:34720,PERSON,,,,,,"2,12",,506 B.C.,,
783d192f-2122-4ea3-84b3-49771d016e74,Cloelia,char-offset:35046,PERSON,,,,,,"2,12",,506 B.C.,,
f02e366a-95ee-4f60-ab24-62a06a832a2c,Cocles,char-offset:35180,PERSON,,,,,,"2,12",,506 B.C.,,
ae5616b9-0567-4a41-98f7-e65f9bf06ee8,Janiculum,char-offset:34239,PLACE,http://pleiades.stoa.org/places/430827518,Janiculum,41.88333,12.46667,"hill,fort","2,12",Ally,506 B.C.,,
1eff690c-2859-40f7-baaa-447bd88e9037,Mucius,char-offset:31126,PERSON,,,,,,"2,12",,506 B.C.,,
0744365d-c644-4e44-ad24-ff2b97d2050d,Mucius,char-offset:32488,PERSON,,,,,,"2,12",,506 B.C.,,
831bcac6-b95e-4848-88aa-c45da6614f81,Mucius,char-offset:33083,PERSON,,,,,,"2,12",,506 B.C.,,
c69cc281-f0b0-43ca-9dbb-c07d133a75d1,Mucius,char-offset:33501,PERSON,,,,,,"2,12",,506 B.C.,,
606026fa-5368-4f52-bc65-cd5a24a43f46,Mucius,char-offset:35191,PERSON,,,,,,"2,12",,506 B.C.,,
2164698f-4968-412a-b87a-56c7098617a3,Porsena,char-offset:29605,PERSON,,,,,,"2,12",,506 B.C.,,
913382a7-2211-4454-b7a1-83b9727f4159,Porsena,char-offset:33631,PERSON,,,,,,"2,12",,506 B.C.,,
