UUID,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,LAT,LNG,PLACE_TYPE,CITE,Relationship,Date,Location Precision 
5a06a809-278d-45a1-9cec-d42ad4a3fff3,A. Aeternius,char-offset:83948,PERSON,,,,,,"3,31",,457 B.C.,
66b22724-c30d-4bc3-a800-09dc4ecea50a,A. Aeternius,char-offset:177883,PERSON,,,,,,"3,64",,449 B.C.,
be862833-8341-4ecf-aaf5-09fc8b57912c,A. Cornelius,char-offset:65596,PERSON,,,,,,"3,21",,460 B.C.,
15387496-ec97-4077-9e95-b369cb3296c9,A. Manlius,char-offset:85336,PERSON,,,,,,"3,32",,456-454 B.C.,
82f914d8-8e8d-4703-bb1d-899565d599d7,A. Manlius,char-offset:87625,PERSON,,,,,,"3,34",,451 B.C.,
17348b71-7e1d-4df7-bc68-7ddc93c3f6ba,A. Postumius,char-offset:13805,PERSON,,,,,,"3,6",,463 B.C.,
f8c6cd14-f95b-425d-8728-75498b12a890,A. Postumius,char-offset:69115,PERSON,,,,,,"3,24",,459 B.C.,
5dc5ef71-2790-4af9-b1fc-1e8425d407c3,A. Verginius,char-offset:1602,PERSON,,,,,,"3,1",,467 B.C.,
f94f8676-4bfa-4e5c-8a29-6a8539699552,A. Verginius,char-offset:32891,PERSON,,,,,,"3,13",,461 B.C.,
9a0b354f-3065-476c-943d-0d99963147c2,Aebutius,char-offset:16970,PERSON,,,,,,"3,8",,462 B.C.,
50d30bcf-1273-4856-8e73-b16945656970,Aemilius,char-offset:194,PERSON,,,,,,"3,1",,467 B.C.,
d17acc28-886f-45d7-99e3-53b4863d0f7c,Aequi,char-offset:1939,PEOPLE,http://pleiades.stoa.org/places/422822,Aequi,42.0215935,13.16497,people,"3,1",,467 B.C.,
7713153f-291f-4825-8d03-7b1f5a8f160b,Aequi,char-offset:2166,PEOPLE,http://pleiades.stoa.org/places/422822,Aequi,42.0215935,13.16497,people,"3,2",,467 B.C.,
2f2d596b-e3ef-4189-b847-11e13e37555d,Aequi,char-offset:2448,PEOPLE,http://pleiades.stoa.org/places/422822,Aequi,42.0215935,13.16497,people,"3,2",,467 B.C.,
038a0f55-d97d-4941-a97e-7cc6321b0586,Aequi,char-offset:2783,PEOPLE,http://pleiades.stoa.org/places/422822,Aequi,42.0215935,13.16497,people,"3,2",,467 B.C.,
