ID,Quote Trans,Anchor,Types ,URI,Vocab,LAT,LNG,Place_Type,Citation,Relationship,Date,Location Precision 
a0b77b64-6634-4f6b-bff4-947797348d99,A. Cornelius,char-offset:28331,PERSON,,,,,,"4,27",,431 B.C.,
1adf8a31-4feb-4df6-9cf4-ede72e74d74d,A. Cornelius,char-offset:1008,PERSON,,,,,,"4,31",,428-426 B. C.,
c1d0f187-8fb1-4dfc-8d5c-bb170b4af936,A. Cornelius,char-offset:3432,PERSON,,,,,,"4,32",,426 B.C,
0c396bf9-2374-40e7-aa86-fda2447f1b09,A. Cornelius Cossus,char-offset:7160,PERSON,,,,,,"4,19",,437 B. C.,
0262385b-4dfa-4d03-90a7-1241a2a90920,A. Cornelius Cossus,char-offset:11318,PERSON,,,,,,"4,20",,437 B. C.,
7e7b106e-e1fc-4be7-a3f1-e828df240d63,A. Cornelius Cossus,char-offset:12398,PERSON,,,,,,"4,20",,437 B. C.,
84c57902-94f9-4d0b-b29f-a7db86af81e0,A. Cornelius Cossus,char-offset:36625,PERSON,,,,,,"4,30",,430-428 B. C.,
4d5a19fa-86d2-4e0b-9ed5-bb08639fb6cf,A. Cornelius Cossus,char-offset:116,PERSON,,,,,,"4,31",,428-426 B. C.,
784e7278-31ae-4e4c-a569-cabf77301789,A. Cornelius Cossus,char-offset:15083,PERSON,,,,,,"4,51",,412-411 B. C.,
bcdb8f9f-61eb-4ddb-a4bc-31f35f362225,A. Postumius Tubertus,char-offset:17863,PERSON,,,,,,"4,24",,433 B. C.,
2526dc77-054b-4a5f-8868-fc8bb47d41b5,A. Postumius Tubertus,char-offset:27322,PERSON,,,,,,"4,26",,431 B.C.,
a1af9e51-7bbd-410a-8979-267f15a40c24,A. Sellius,char-offset:27301,PERSON,,,,,,"4,42",,422 B. C.,
55d43715-219b-4e46-9f61-ae70e995d679,A. Sempronius,char-offset:34196,PERSON,,,,,,"4,44",,420 B. C.,
835c3cfe-6805-4f8f-93cd-48b35acf1e7d,A. Sempronius Atratinus,char-offset:33061,PERSON,,,,,,"4,44",,420 B. C.,
b5920deb-3ea7-4dea-b4f0-abd3a6550759,A. Sempronius Atratinus,char-offset:10660,PERSON,,,,,,"4,35",,425-424 B. C.,
0fd416f4-b767-49b7-874c-50d3c7d89475,A. Sempronius Atratinus,char-offset:4736,PERSON,,,,,,"4,47",,418 B. C.,
083b763d-77c8-45bc-bf98-ff38de0f4c29,Aemilius,char-offset:26782,PERSON,,,,,,"4,41",,423 B. C.,
200f2b9a-b7f9-4cf2-abb4-e1e49aa941e2,Aemilius,char-offset:2110,PERSON,,,,,,"4,16",,439 B. C.,
7e06c86e-7d03-4cc1-82e4-d6dc08e94f49,Aemilius,char-offset:17818,PERSON,,,,,,"4,24",,433 B. C.,
