UUID,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,LAT,LNG,PLACE_TYPE,Citation,RELATIONSHIP,DATE,LOCATION PRECISION
dd78da64-294a-4500-8355-ab366556ba59,A. Manlius,char-offset:47211,PERSON,,,,,,"5,13",,399 B.C.,
7a3b93ee-c89f-43cb-91e8-a0b6b38efa46,A. Manlius,char-offset:336,PERSON,,,,,,"5,28",,390 B.C.,
c42b9c10-e781-449d-adf0-ac0bbe686e10,A. Postumius,char-offset:48071,PERSON,,,,,,"5,14",,399 B.C.,
de940055-0731-4537-9fcc-4f2231652642,A. Postumius Regillensis,char-offset:47154,PERSON,,,,,,"5,13",,399 B.C.,
5f7b7198-df81-4024-8dfd-52969bbcceb2,A. Verginius,char-offset:5506,PERSON,,,,,,"5,29",,390 B.C.,
c16983d1-df37-4909-a544-863256f72d33,Aemilius,char-offset:1796,PERSON,,,,,,"5,28",,390 B.C.,
74a44359-9c15-4de0-a866-a88f65511091,Aemilius,char-offset:3261,PERSON,,,,,,"5,28",,390 B.C.,
889f06d8-7d05-4de0-8abd-8824ee4d5b5d,Aequi,char-offset:47409,PLACE,http://pleiades.stoa.org/places/422822,Aequi,42.0215935,13.16497,people,"5,14",,399 B.C.,
95761772-18c9-4823-bc13-d636ca0c0fd3,Aequi,char-offset:69357,PLACE,http://pleiades.stoa.org/places/422822,Aequi,42.0215935,13.16497,people,"5,20",,392 B.C.,
b58a1c40-7ae3-41de-99de-8811c7082ce5,Aequi,char-offset:1433,PLACE,http://pleiades.stoa.org/places/422822,Aequi,42.0215935,13.16497,people,"5,28",,390 B.C.,
a78e3ede-c397-444a-9389-00d8e6a9d138,Aequi,char-offset:1983,PLACE,http://pleiades.stoa.org/places/422822,Aequi,42.0215935,13.16497,people,"5,28",,390 B.C.,
440a40bb-4c41-4ba3-b90b-c1cb1f5f42e7,Aequi,char-offset:3684,PLACE,http://pleiades.stoa.org/places/422822,Aequi,42.0215935,13.16497,people,"5,28",,390 B.C.,
9cd10cff-8eb9-42b6-8f2c-48403427f0b1,Aequi,char-offset:4960,PLACE,http://pleiades.stoa.org/places/422822,Aequi,42.0215935,13.16497,people,"5,29",,390 B.C.,
00cea52d-745f-4fe3-9e6a-863321947b7f,Aequi,char-offset:9858,PLACE,http://pleiades.stoa.org/places/422822,Aequi,42.0215935,13.16497,people,"5,31",,390 B.C.,
29bb7e3e-d682-4633-9038-2d0cc3a5501c,Aequi,char-offset:71325,PLACE,http://pleiades.stoa.org/places/422822,Aequi,42.0215935,13.16497,people,"5,53",,386 B.C.,
fd40b9e1-aa45-4f3a-9108-38c693553fa3,Aequi,char-offset:73984,PLACE,http://pleiades.stoa.org/places/422822,Aequi,42.0215935,13.16497,people,"5,54",,386 B.C.,
480a744e-79c3-426e-906b-173f68079f1a,Aequian,char-offset:4056,PEOPLE,http://pleiades.stoa.org/places/422822,Aequi,42.0215935,13.16497,people,"5,28",,390 B.C.,
c5e656b7-f4c8-4106-909e-864afae90471,Aesis,char-offset:19501,PLACE,http://pleiades.stoa.org/places/413002,"Aesis|Aesis, Jesi",43.52492,13.2462,settlement,"5,35",,390 B.C.,
8013012f-e452-4c15-8f56-59a5c0736d31,Agrippa Furius,char-offset:11343,PERSON,,,,,,"5,32",,390 B.C.,
d55edb77-e28a-4773-928a-d220eb97ec83,Agrippa Furius,char-offset:11527,PERSON,,,,,,"5,32",,390 B.C.,
15a5b21f-0028-4e1e-8dc3-173efd5d1e09,Aius Locutius,char-offset:67602,PERSON,,,,,,"5,52",,386 B.C.,
d758192c-1535-4f91-9061-16d0a20cb615,Alban,char-offset:44315,PEOPLE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"5,12",,400 B.C.,
05852239-8c7d-4eaf-8af4-734fdd333d0f,Alban,char-offset:44810,PEOPLE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"5,13",,399 B.C.,
6852d4d8-2fd4-4d1f-8922-4fc820c6f55c,Alban,char-offset:45153,PEOPLE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"5,13",,399 B.C.,
ea0f3c03-20f4-453d-acd6-8bc23b0cf9c1,Alban,char-offset:46989,PEOPLE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"5,13",,399 B.C.,
ac52650a-81f1-4b5f-8359-71666be2bc9b,Alban,char-offset:49852,PEOPLE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"5,14",,399 B.C.,
478daeec-709c-4c69-97b7-5ca1cad79d81,Alban,char-offset:50234,PEOPLE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"5,15",,398 B.C.,
bcbd764b-4e50-42a6-b41b-1191f2055e11,Alban,char-offset:55356,PEOPLE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"5,16",,398 B.C.,
25151ef4-f9f2-48ae-a968-9c031c2158fe,Alban,char-offset:63225,PEOPLE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"5,51",,386 B.C.,
0de2fcee-52b5-42dd-9180-661cb1e7eaa8,Alban,char-offset:66680,PEOPLE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"5,52",,386 B.C.,
d9ad5330-e60a-4eab-9c66-76c5ad2e0d1f,Alban,char-offset:67177,PEOPLE,http://pleiades.stoa.org/places/422824,"Alba Longa?|Alba Longa?, Castel Gandolfo",41.746447,12.65048,settlement,"5,52",,386 B.C.,
ccf47779-e8f7-426c-950a-e8546252cbd4,Alps,char-offset:14720,PLACE,http://pleiades.stoa.org/places/197108,"Alpes Iuliae|Alpes Iuliae, Julian Alps",46.383333,13.883333,mountain,"5,33",,390 B.C.,
556d3241-bcda-4d62-9498-2be716ff623e,Alps,char-offset:15026,PLACE,http://pleiades.stoa.org/places/197108,"Alpes Iuliae|Alpes Iuliae, Julian Alps",46.383333,13.883333,mountain,"5,33",,390 B.C.,
26df4656-3287-40f8-a856-069ae5eb0164,Alps,char-offset:15789,PLACE,http://pleiades.stoa.org/places/197108,"Alpes Iuliae|Alpes Iuliae, Julian Alps",46.383333,13.883333,mountain,"5,33",,390 B.C.,
4d262a8c-0fa0-4669-af02-3d461b6335c8,Alps,char-offset:17564,PLACE,http://pleiades.stoa.org/places/197108,"Alpes Iuliae|Alpes Iuliae, Julian Alps",46.383333,13.883333,mountain,"5,34",,390 B.C.,
639677f3-415c-4d32-89b4-98644893ecff,Alps,char-offset:18420,PLACE,http://pleiades.stoa.org/places/197108,"Alpes Iuliae|Alpes Iuliae, Julian Alps",46.383333,13.883333,mountain,"5,34",,390 B.C.,
d2ae6f1c-d45f-492c-b775-e403ab879e30,Alps,char-offset:19265,PLACE,http://pleiades.stoa.org/places/197108,"Alpes Iuliae|Alpes Iuliae, Julian Alps",46.383333,13.883333,mountain,"5,35",,390 B.C.,
95ff456e-b0ce-407f-8e8f-c57018833a00,Anio,char-offset:29595,PLACE,http://pleiades.stoa.org/places/422834,Anio (river),41.9412126,12.5047849,river,"5,39",,386 B.C.,
c32899d8-b65c-4a00-84ae-27940ab362ad,Antium,char-offset:45515,PLACE,http://pleiades.stoa.org/places/422837,"Antium|Antium, Anzio|Villa di Nerone, Anzio",41.455191,12.628595,"theatre,villa,settlement,port","5,45",,386 B.C.,
